datetime	sensor_0	sensor_1	sensor_2
time	continuous	continuous	continuous
	class	class	class
1601482550.0	71.40325	56.38917	61.30045
1601482549.0	72.63819	55.8507	60.83054
1601482548.0	74.32756	55.12257	60.53089
1601482547.0	76.24866	56.30872	61.89526
1601482546.0	78.53258	57.81744	62.41437
1601482545.0	82.65497	58.41383	61.41827
1601482544.0	83.07251	57.1919	61.67818
1601482543.0	80.38682	56.97131	63.70582
1601482542.0	76.63229	56.74422	62.28812
1601482541.0	75.57728	56.48142	63.18558
1601482540.0	73.75423	57.05256	62.54651
1601482539.0	72.81884	55.67847	64.5447
1601482538.0	72.10567	54.52989	61.94311
1601482537.0	69.99228	55.20922	60.60954
1601482536.0	70.41989	56.24723	61.18206
1601482535.0	68.90844	54.22167	61.57432
1601482534.0	66.85696	52.41942	60.99179
1601482533.0	66.66229	53.01019	60.06537
1601482532.0	64.85522	53.00301	60.1249
1601482531.0	64.55193	51.07696	62.53528
1601482530.0	65.26129	53.26149	62.14193
1601482529.0	64.06548	54.7839	59.4566
1601482528.0	65.86858	56.30453	63.50626
1601482527.0	65.22372	54.11914	60.7083
1601482526.0	67.72202	53.5461	62.02535
1601482525.0	67.5512	53.6325	58.99678
1601482524.0	69.77532	55.59238	60.95345
1601482523.0	68.35875	54.90595	62.76142
1601482522.0	69.81004	54.56578	60.78739
1601482521.0	71.94247	57.11476	63.47977
1601482520.0	73.67751	55.68531	61.40366
1601482519.0	75.41833	57.90251	63.38429
1601482518.0	77.7407	58.11168	63.30453
1601482517.0	79.15243	55.64482	61.73159
1601482516.0	79.8451	58.66256	64.83002
1601482515.0	82.78188	57.88578	63.18581
1601482514.0	81.29173	57.86427	63.45949
1601482513.0	78.41522	60.7279	66.46751
1601482512.0	76.93293	56.20606	61.74564
1601482511.0	74.20689	56.13506	61.85685
1601482510.0	74.3667	56.29823	62.83273
1601482509.0	73.8614	59.09724	64.18493
1601482508.0	71.98112	56.53545	63.71117
1601482507.0	71.89724	57.19505	62.08786
1601482506.0	73.53073	59.10905	65.79771
1601482505.0	69.19076	57.44767	62.55415
1601482504.0	68.18522	52.97882	62.93273
1601482503.0	66.48491	53.09331	60.17154
1601482502.0	64.39115	53.00741	58.56955
1601482501.0	64.32732	54.49465	59.72811
1601482500.0	66.37714	54.66752	61.74493
1601482499.0	65.12355	53.33481	60.00748
1601482498.0	66.46548	50.81237	60.20235
1601482497.0	65.58015	49.99414	57.97861
1601482496.0	67.77797	54.7812	59.78185
1601482495.0	67.63547	53.86163	60.08555
1601482494.0	68.40028	55.55119	59.94912
1601482493.0	67.6107	54.90341	60.61069
1601482492.0	70.75372	54.84352	60.68044
1601482491.0	70.93835	54.85346	62.60402
1601482490.0	72.63543	53.01438	61.87809
1601482489.0	72.60626	54.31951	62.1302
1601482488.0	74.15501	56.06885	63.67761
1601482487.0	77.42093	57.55246	63.71074
1601482486.0	81.18439	57.4372	63.51591
1601482485.0	82.34243	59.89607	64.78511
